Elements,Nodes,send_to_gpu,_calculate,calculate_and_assemble_matrices,prepare_data,factorize,solve
40000,40401,0.009157395362854004,0.002141857147216797,0.011537671089172363,0.04577450752258301,0.193387770652771,0.12942370176315307
1000000,1002001,0.08923146724700928,0.030710268020629882,0.12019462585449218,0.3733330249786377,13.153170371055603,3.927690954208374
250000,251001,0.025745487213134764,0.007512807846069336,0.033494091033935545,0.0937424659729004,1.8078604698181153,0.8681305718421936
10000,10201,0.003194379806518555,0.001595139503479004,0.005008840560913086,0.042245221138000486,0.03574903011322021,0.028303277492523194
160000,160801,0.02446424961090088,0.003666210174560547,0.02837240695953369,0.06893289089202881,1.1268920421600341,0.6657757234573364
360000,361201,0.036894822120666505,0.012033534049987794,0.049172401428222656,0.13759734630584716,2.9650063514709473,1.2804406714439391
100,121,0.0009130001068115235,0.00142669677734375,0.0025504350662231444,0.040921688079833984,0.0009273052215576172,0.0020376729965209963
2500,2601,0.0011350870132446288,0.0015299797058105468,0.002874445915222168,0.04130380153656006,0.008771967887878419,0.009939243793487549
640000,641601,0.07669882774353028,0.017229223251342775,0.09417369365692138,0.2495434284210205,6.6605994462966915,2.5756465291976927
90000,90601,0.01646435260772705,0.002717280387878418,0.019416236877441408,0.05485107898712158,0.4707852602005005,0.26481162309646605
490000,491401,0.046425700187683105,0.012761092185974121,0.0594144344329834,0.1936164140701294,4.252692866325378,1.8480137753486634
810000,811801,0.08177716732025146,0.024012494087219238,0.10603854656219483,0.32995388507843015,9.63009316921234,3.2066846466064454
