Elements,Nodes,calculate_and_assemble_matrices,prepare_data,factorize,solve
360000,361201,1.743269443511963,0.17679667472839355,1.4008815288543701,0.0010326576232910156
1000000,1002001,4.874877142906189,0.47256014347076414,4.170254373550415,0.00904599905014038
490000,491401,2.431052803993225,0.23764269351959227,1.9407737970352172,0.0011067819595336915
810000,811801,3.920436954498291,0.38888821601867674,3.4008025407791136,0.00766244649887085
2500,2601,0.014673852920532226,0.038315629959106444,0.039421796798706055,0.0007427692413330078
40000,40401,0.19986233711242676,0.04717850685119629,0.1529453992843628,0.001332087516784668
160000,160801,0.7955398797988892,0.08940484523773193,0.6099350690841675,0.0009419822692871094
10000,10201,0.05371303558349609,0.04075205326080322,0.06398096084594726,0.0008451080322265625
100,121,0.0015048742294311523,0.03819549083709717,0.029804134368896486,0.0007058072090148926
90000,90601,0.4406419277191162,0.06376936435699462,0.3231761932373047,0.002334630489349365
640000,641601,3.154059386253357,0.318257212638855,2.597707724571228,0.0011809873580932617
250000,251001,1.2175605535507201,0.11782913208007813,0.952932596206665,0.0009876227378845216
