Elements,Nodes,_to_cupy,calculate_matrices,prepare_data,_analyze,_factorize,factorize,solve
1000000,1002001,0.08644413948059082,0.11728882789611816,0.4361610412597656,3.798377275466919,0.24945545196533203,4.048090219497681,0.01581110954284668
10000,10201,0.002924203872680664,0.004666566848754883,0.053008317947387695,0.0452120304107666,0.008277654647827148,0.053670644760131836,0.0011551618576049806
250000,251001,0.024524688720703125,0.03308677673339844,0.10785794258117676,0.866534948348999,0.04283618927001953,0.9095921516418457,0.004501914978027344
2500,2601,0.00112152099609375,0.002837657928466797,0.05304741859436035,0.0193178653717041,0.008046150207519531,0.027547121047973633,0.0008875846862792969
100,121,0.0009050369262695312,0.002523183822631836,0.051865339279174805,0.010872840881347656,0.007644176483154297,0.018681049346923828,0.000722813606262207
90000,90601,0.017258405685424805,0.020220041275024414,0.06607961654663086,0.29996705055236816,0.017267227172851562,0.3174252510070801,0.002617502212524414
360000,361201,0.03587794303894043,0.04858517646789551,0.16110777854919434,1.2956254482269287,0.059696197509765625,1.355597972869873,0.006023621559143067
640000,641601,0.07387208938598633,0.09222054481506348,0.3000659942626953,2.3696448802948,0.11401057243347168,2.4838762283325195,0.009884858131408691
490000,491401,0.045710086822509766,0.06242775917053223,0.22502636909484863,1.7648675441741943,0.08353924751281738,1.8486309051513672,0.007763433456420899
160000,160801,0.024034738540649414,0.02812790870666504,0.08781123161315918,0.5516867637634277,0.028484821319580078,0.5803563594818115,0.0035045623779296877
810000,811801,0.08198189735412598,0.10636210441589355,0.3842954635620117,3.1255788803100586,0.18400049209594727,3.309762954711914,0.012795257568359374
40000,40401,0.00842905044555664,0.010807037353515625,0.05786395072937012,0.13245034217834473,0.011206865310668945,0.1438601016998291,0.0016713142395019531
