Elements,Nodes,_to_cupy,calculate_matrices,prepare_data,_analyze,_factorize,factorize,solve
40000,40401,0.008586645126342773,0.010955095291137695,0.05695748329162598,0.13396668434143066,0.01227879524230957,0.1464378833770752,0.001587986946105957
490000,491401,0.04753851890563965,0.06422019004821777,0.22895240783691406,1.7719531059265137,0.1416466236114502,1.9138169288635254,0.00761260986328125
10000,10201,0.0031630992889404297,0.0050199031829833984,0.05924177169799805,0.04631304740905762,0.008081197738647461,0.05459451675415039,0.0011009693145751954
100,121,0.0008609294891357422,0.0023963451385498047,0.05161142349243164,0.011805295944213867,0.006435871124267578,0.018407821655273438,0.000688481330871582
1000000,1002001,0.08629488945007324,0.11718130111694336,0.44379353523254395,3.8501880168914795,0.4073059558868408,4.257722616195679,0.015333747863769532
160000,160801,0.023238420486450195,0.027283668518066406,0.08130955696105957,0.567969560623169,0.04259085655212402,0.6107645034790039,0.003453183174133301
250000,251001,0.024816036224365234,0.033357858657836914,0.10901427268981934,0.868354082107544,0.06329631805419922,0.9318540096282959,0.004311323165893555
2500,2601,0.0011172294616699219,0.0027799606323242188,0.05193638801574707,0.020519495010375977,0.007698535919189453,0.028414011001586914,0.0008631706237792969
810000,811801,0.0818021297454834,0.10606551170349121,0.38376307487487793,3.1334331035614014,0.30590176582336426,3.439523220062256,0.01252000331878662
360000,361201,0.03547167778015137,0.048358917236328125,0.15913844108581543,1.297053337097168,0.09740543365478516,1.3946521282196045,0.005810832977294922
640000,641601,0.07616996765136719,0.0945425033569336,0.29140806198120117,2.399141788482666,0.19431805610656738,2.5936942100524902,0.009657502174377441
90000,90601,0.015917539596557617,0.018847942352294922,0.0699164867401123,0.3073301315307617,0.022156476974487305,0.32967257499694824,0.0025259017944335937
