Elements,Nodes,_to_cupy,calculate_matrices,prepare_data,_analyze,factorize,solve
1000000,1002001,0.08576369285583496,0.11671781539916992,0.44366979598999023,1.1422486305236816,5.384985685348511,0.13909740447998048
90000,90601,0.01596379280090332,0.018919944763183594,0.0699155330657959,0.11527490615844727,0.3004119396209717,0.010056710243225098
490000,491401,0.04422330856323242,0.05791902542114258,0.23399758338928223,0.5515620708465576,2.134813070297241,0.06481702327728271
100,121,0.0008699893951416016,0.0023767948150634766,0.05252647399902344,0.013692617416381836,0.015260934829711914,9.675025939941407e-05
160000,160801,0.023627519607543945,0.027719974517822266,0.0905451774597168,0.20734453201293945,0.5819969177246094,0.018498659133911133
2500,2601,0.0010755062103271484,0.0027480125427246094,0.05312085151672363,0.018037796020507812,0.0253450870513916,0.00028600692749023435
810000,811801,0.07824897766113281,0.10245513916015625,0.39951467514038086,0.920417070388794,4.0396506786346436,0.11034924983978271
360000,361201,0.03488492965698242,0.047818660736083984,0.1715087890625,0.41182470321655273,1.4634203910827637,0.04599180221557617
10000,10201,0.0029523372650146484,0.004710197448730469,0.054798126220703125,0.027684450149536133,0.04288315773010254,0.0008295297622680664
640000,641601,0.07355713844299316,0.09183907508850098,0.3014068603515625,0.7183637619018555,2.8598473072052,0.08466911315917969
250000,251001,0.023178815841674805,0.03287649154663086,0.11526322364807129,0.2970924377441406,0.959587812423706,0.031411933898925784
40000,40401,0.00858926773071289,0.010996103286743164,0.05781078338623047,0.06499099731445312,0.13753986358642578,0.004078722000122071
