Time,Min temperature,Max temperature
8400.0,1199.999436,1199.999673
8450.0,1199.999483,1199.9997
8500.0,1199.999526,1199.999725
8550.0,1199.999565,1199.999748
8600.0,1199.999602,1199.999769
8650.0,1199.999635,1199.999788
8700.0,1199.999665,1199.999806
8750.0,1199.999693,1199.999822
8800.0,1199.999719,1199.999837
8850.0,1199.999742,1199.999851
8900.0,1199.999764,1199.999863
8950.0,1199.999784,1199.999875
9000.0,1199.999802,1199.999885
9050.0,1199.999818,1199.999895
9100.0,1199.999833,1199.999903
9150.0,1199.999847,1199.999911
9200.0,1199.99986,1199.999919
9250.0,1199.999872,1199.999926
9300.0,1199.999882,1199.999932
9350.0,1199.999892,1199.999938
9400.0,1199.999901,1199.999943
9450.0,1199.99991,1199.999948
9500.0,1199.999917,1199.999952
9550.0,1199.999924,1199.999956
9600.0,1199.99993,1199.99996
9650.0,1199.999936,1199.999963
9700.0,1199.999941,1199.999966
9750.0,1199.999946,1199.999969
9800.0,1199.999951,1199.999972
9850.0,1199.999955,1199.999974
9900.0,1199.999959,1199.999976
9950.0,1199.999962,1199.999978
10000.0,1199.999965,1199.99998
10050.0,1199.999968,1199.999982
10100.0,1199.999971,1199.999983
10150.0,1199.999973,1199.999985
10200.0,1199.999976,1199.999986
10250.0,1199.999978,1199.999987
10300.0,1199.999979,1199.999988
10350.0,1199.999981,1199.999989
10400.0,1199.999983,1199.99999
10450.0,1199.999984,1199.999991
10500.0,1199.999986,1199.999992
10550.0,1199.999987,1199.999992
10600.0,1199.999988,1199.999993
10650.0,1199.999989,1199.999994
10700.0,1199.99999,1199.999994
10750.0,1199.999991,1199.999995
10800.0,1199.999991,1199.999995
10850.0,1199.999992,1199.999995
10900.0,1199.999993,1199.999996
10950.0,1199.999993,1199.999996
11000.0,1199.999994,1199.999997
11050.0,1199.999994,1199.999997
11100.0,1199.999995,1199.999997
11150.0,1199.999995,1199.999997
11200.0,1199.999996,1199.999998
11250.0,1199.999996,1199.999998
11300.0,1199.999996,1199.999998
11350.0,1199.999997,1199.999998
11400.0,1199.999997,1199.999998
11450.0,1199.999997,1199.999998
11500.0,1199.999998,1199.999999
11550.0,1199.999998,1199.999999
11600.0,1199.999998,1199.999999
11650.0,1199.999998,1199.999999
11700.0,1199.999998,1199.999999
11750.0,1199.999998,1199.999999
11800.0,1199.999999,1199.999999
11850.0,1199.999999,1199.999999
11900.0,1199.999999,1199.999999
11950.0,1199.999999,1199.999999
12000.0,1199.999999,1199.999999
12050.0,1199.999999,1199.999999
12100.0,1199.999999,1200.0
12150.0,1199.999999,1200.0
12200.0,1199.999999,1200.0
12250.0,1199.999999,1200.0
12300.0,1199.999999,1200.0
12350.0,1199.999999,1200.0
12400.0,1200.0,1200.0
12450.0,1200.0,1200.0
12500.0,1200.0,1200.0
12550.0,1200.0,1200.0
12600.0,1200.0,1200.0
12650.0,1200.0,1200.0
12700.0,1200.0,1200.0
12750.0,1200.0,1200.0
12800.0,1200.0,1200.0
12850.0,1200.0,1200.0
12900.0,1200.0,1200.0
12950.0,1200.0,1200.0
13000.0,1200.0,1200.0
