Elements,Nodes,send_to_gpu,_calculate,calculate_and_assemble_matrices,prepare_data,factorize,solve
160000,160801,0.024314379692077635,0.0038561582565307616,0.028415822982788087,0.06765727996826172,0.6046817064285278,0.0009467601776123047
1000000,1002001,0.087723708152771,0.030626916885375978,0.11860945224761962,0.3682525396347046,4.166965937614441,0.009036624431610107
810000,811801,0.08142342567443847,0.024028754234313963,0.10569941997528076,0.34108312129974366,3.392074728012085,0.007728285789489746
360000,361201,0.03788139820098877,0.01186835765838623,0.04999861717224121,0.13427460193634033,1.4024734020233154,0.0010353398323059081
2500,2601,0.0011417627334594726,0.0014964818954467773,0.002846646308898926,0.03752171993255615,0.03763778209686279,0.0007149124145507812
40000,40401,0.009308266639709472,0.002306342124938965,0.011861371994018554,0.04187407493591309,0.15254454612731932,0.0012758994102478028
640000,641601,0.07575752735137939,0.01723802089691162,0.09324769973754883,0.2434009790420532,2.590188908576965,0.0011710500717163085
250000,251001,0.025511741638183594,0.007930183410644531,0.03367683887481689,0.09094078540802002,0.9544938087463379,0.0009733128547668457
10000,10201,0.003168201446533203,0.0015931844711303711,0.004976391792297363,0.038689064979553225,0.06399259567260743,0.0008464908599853516
90000,90601,0.016347002983093262,0.0027297019958496095,0.019309210777282714,0.04979007244110108,0.31958560943603515,0.002306218147277832
100,121,0.0009256124496459961,0.0013895273208618165,0.0025241613388061524,0.03787379264831543,0.029031968116760253,0.0006939601898193359
490000,491401,0.04555802345275879,0.013858294486999512,0.05965533256530762,0.18775632381439208,1.9322627782821655,0.0010812139511108397
