Elements,Nodes,_to_cupy,calculate_matrices,prepare_data,_analyze,_factorize,factorize,solve
160000,160801,0.023516416549682617,0.02733612060546875,0.0814824104309082,0.34354543685913086,0.13902044296264648,0.4828023910522461,0.016644906997680665
2500,2601,0.0011146068572998047,0.0026595592498779297,0.05221986770629883,0.015498638153076172,0.009539127349853516,0.025214195251464844,0.0010185480117797852
10000,10201,0.0029952526092529297,0.004739284515380859,0.05318641662597656,0.03340768814086914,0.015891075134277344,0.04951214790344238,0.0018817663192749023
810000,811801,0.08169770240783691,0.10590839385986328,0.385134220123291,1.9920568466186523,0.809065580368042,2.801344633102417,0.081978178024292
250000,251001,0.02446293830871582,0.03307080268859863,0.1080782413482666,0.5716080665588379,0.21775317192077637,0.7896039485931396,0.025150394439697264
640000,641601,0.07521510124206543,0.0934743881225586,0.2897529602050781,1.5370924472808838,0.6448571681976318,2.1821656227111816,0.06571202278137207
1000000,1002001,0.08679628372192383,0.11768603324890137,0.4309580326080322,2.459632158279419,1.0323541164398193,3.4922609329223633,0.10008320808410645
490000,491401,0.04677248001098633,0.05853915214538574,0.22347164154052734,1.1457722187042236,0.4572441577911377,1.6032094955444336,0.05072479248046875
90000,90601,0.01578545570373535,0.01874256134033203,0.06613349914550781,0.19176316261291504,0.07894206047058105,0.27092409133911133,0.009458804130554199
100,121,0.0008618831634521484,0.0023975372314453125,0.052504539489746094,0.010389566421508789,0.007769346237182617,0.01833057403564453,0.0007339715957641602
40000,40401,0.008428573608398438,0.010885477066040039,0.05517911911010742,0.08967924118041992,0.03714561462402344,0.12701082229614258,0.004468107223510742
360000,361201,0.03570890426635742,0.04847979545593262,0.16021370887756348,0.8085653781890869,0.3220353126525879,1.1308326721191406,0.03653905391693115
