Elements,Nodes,_to_cupy,calculate_matrices,prepare_data,_analyze,factorize,solve
10000,10201,0.0029358863830566406,0.004624128341674805,0.05312967300415039,0.032857656478881836,0.09638524055480957,0.017392492294311522
1000000,1002001,0.08557415008544922,0.11652302742004395,0.43030309677124023,2.4229612350463867,6.803414583206177,1.7595482349395752
250000,251001,0.023311376571655273,0.032482147216796875,0.10968661308288574,0.5520968437194824,1.3451557159423828,0.41126189231872556
160000,160801,0.023040056228637695,0.02683401107788086,0.08175826072692871,0.3279078006744385,0.7890527248382568,0.26149299144744875
360000,361201,0.03512120246887207,0.047879934310913086,0.16053462028503418,0.8054802417755127,1.9883263111114502,0.5873486042022705
640000,641601,0.07289958000183105,0.09115195274353027,0.2876162528991699,1.5173871517181396,4.237154483795166,1.1647523641586304
490000,491401,0.04547762870788574,0.058123111724853516,0.2228708267211914,1.1261413097381592,2.895033597946167,0.8753904104232788
100,121,0.0008869171142578125,0.002452850341796875,0.05277705192565918,0.010360002517700195,0.055681705474853516,0.001805281639099121
40000,40401,0.00818634033203125,0.010493278503417969,0.05683588981628418,0.08903789520263672,0.21471762657165527,0.05211884975433349
810000,811801,0.07816720008850098,0.10251116752624512,0.3884143829345703,1.9718971252441406,5.4246251583099365,1.3797401905059814
90000,90601,0.015742063522338867,0.01867842674255371,0.0653839111328125,0.1908857822418213,0.44072699546813965,0.11487398147583008
2500,2601,0.0011126995086669922,0.0028259754180908203,0.05315876007080078,0.015443563461303711,0.06406712532043457,0.005864167213439941
