Elements,Nodes,_to_cupy,calculate_matrices,prepare_data,_analyze,factorize,solve
1000000,1002001,0.08492469787597656,0.11584234237670898,0.44616055488586426,2.4208106994628906,6.080181121826172,0.13239762783050538
40000,40401,0.008725166320800781,0.011137723922729492,0.05827474594116211,0.0961604118347168,0.1609184741973877,0.004028582572937011
490000,491401,0.04493093490600586,0.05751347541809082,0.23549699783325195,1.1250369548797607,2.5411555767059326,0.06256980895996093
90000,90601,0.0156862735748291,0.018711566925048828,0.06833887100219727,0.20406126976013184,0.37256884574890137,0.010256409645080566
10000,10201,0.0029706954956054688,0.004725933074951172,0.054787635803222656,0.03295421600341797,0.0482327938079834,0.0008102893829345703
160000,160801,0.023259639739990234,0.02700352668762207,0.08597326278686523,0.3418865203857422,0.6796555519104004,0.019548630714416503
810000,811801,0.0787191390991211,0.10318422317504883,0.403515100479126,1.970993995666504,4.848786354064941,0.10595402717590333
640000,641601,0.07284355163574219,0.09122467041015625,0.30294132232666016,1.520354986190796,3.6408393383026123,0.08230800628662109
100,121,0.0009050369262695312,0.0024459362030029297,0.05120086669921875,0.010285139083862305,0.011251211166381836,5.605220794677734e-05
2500,2601,0.0010952949523925781,0.0027379989624023438,0.052281856536865234,0.016390562057495117,0.020759105682373047,0.0002243518829345703
360000,361201,0.035101890563964844,0.047875165939331055,0.1674811840057373,0.795482873916626,1.7129318714141846,0.044163846969604494
250000,251001,0.023040771484375,0.032499074935913086,0.11977672576904297,0.5594778060913086,1.1471843719482422,0.030207228660583497
