Elements,Nodes,_to_cupy,calculate_matrices,prepare_data,_analyze,_factorize,factorize,solve
2500,2601,0.0011963844299316406,0.00292205810546875,0.05455660820007324,0.017261743545532227,0.010202884674072266,0.027701377868652344,0.0008854389190673829
90000,90601,0.019003629684448242,0.022083044052124023,0.08253288269042969,0.13033318519592285,0.018904924392700195,0.1494450569152832,0.002746987342834473
1000000,1002001,0.09685015678405762,0.12745213508605957,0.4344940185546875,1.324028730392456,0.253145694732666,1.5773983001708984,0.01589365005493164
810000,811801,0.08094072341918945,0.10515332221984863,0.3842751979827881,0.9315838813781738,0.18427729606628418,1.1160550117492676,0.013215398788452149
10000,10201,0.003170013427734375,0.0050487518310546875,0.06060981750488281,0.027849912643432617,0.009566068649291992,0.03762388229370117,0.001181316375732422
490000,491401,0.04739832878112793,0.059587955474853516,0.22586989402770996,0.5618844032287598,0.0854043960571289,0.6474924087524414,0.007847166061401368
160000,160801,0.024474620819091797,0.028548717498779297,0.08387494087219238,0.2264266014099121,0.029657840728759766,0.2562887668609619,0.003622126579284668
360000,361201,0.036380767822265625,0.049349308013916016,0.16424131393432617,0.4427311420440674,0.06087660789489746,0.5037963390350342,0.006082940101623535
100,121,0.0009429454803466797,0.002573728561401367,0.05600619316101074,0.013421773910522461,0.01300811767578125,0.026715517044067383,0.0007823705673217773
640000,641601,0.07924985885620117,0.09806609153747559,0.29144883155822754,0.8061637878417969,0.11443471908569336,0.9208121299743652,0.009997153282165527
250000,251001,0.029500484466552734,0.03890275955200195,0.11209726333618164,0.3093757629394531,0.04213571548461914,0.35170984268188477,0.0044274568557739254
40000,40401,0.009835243225097656,0.012333393096923828,0.06098031997680664,0.06950664520263672,0.013260841369628906,0.08298969268798828,0.0018003225326538087
