Time,Min temperature,Max temperature
8400.0,1199.999442,1199.99968
8450.0,1199.999488,1199.999707
8500.0,1199.999531,1199.999731
8550.0,1199.99957,1199.999754
8600.0,1199.999606,1199.999774
8650.0,1199.999639,1199.999793
8700.0,1199.999669,1199.99981
8750.0,1199.999697,1199.999826
8800.0,1199.999722,1199.999841
8850.0,1199.999745,1199.999854
8900.0,1199.999767,1199.999866
8950.0,1199.999786,1199.999877
9000.0,1199.999804,1199.999888
9050.0,1199.99982,1199.999897
9100.0,1199.999835,1199.999906
9150.0,1199.999849,1199.999913
9200.0,1199.999862,1199.999921
9250.0,1199.999873,1199.999927
9300.0,1199.999884,1199.999933
9350.0,1199.999894,1199.999939
9400.0,1199.999902,1199.999944
9450.0,1199.999911,1199.999949
9500.0,1199.999918,1199.999953
9550.0,1199.999925,1199.999957
9600.0,1199.999931,1199.999961
9650.0,1199.999937,1199.999964
9700.0,1199.999942,1199.999967
9750.0,1199.999947,1199.99997
9800.0,1199.999951,1199.999972
9850.0,1199.999956,1199.999974
9900.0,1199.999959,1199.999977
9950.0,1199.999963,1199.999979
10000.0,1199.999966,1199.99998
10050.0,1199.999969,1199.999982
10100.0,1199.999971,1199.999984
10150.0,1199.999974,1199.999985
10200.0,1199.999976,1199.999986
10250.0,1199.999978,1199.999987
10300.0,1199.99998,1199.999988
10350.0,1199.999981,1199.999989
10400.0,1199.999983,1199.99999
10450.0,1199.999984,1199.999991
10500.0,1199.999986,1199.999992
10550.0,1199.999987,1199.999992
10600.0,1199.999988,1199.999993
10650.0,1199.999989,1199.999994
10700.0,1199.99999,1199.999994
10750.0,1199.999991,1199.999995
10800.0,1199.999992,1199.999995
10850.0,1199.999992,1199.999996
10900.0,1199.999993,1199.999996
10950.0,1199.999993,1199.999996
11000.0,1199.999994,1199.999997
11050.0,1199.999995,1199.999997
11100.0,1199.999995,1199.999997
11150.0,1199.999995,1199.999997
11200.0,1199.999996,1199.999998
11250.0,1199.999996,1199.999998
11300.0,1199.999996,1199.999998
11350.0,1199.999997,1199.999998
11400.0,1199.999997,1199.999998
11450.0,1199.999997,1199.999998
11500.0,1199.999998,1199.999999
11550.0,1199.999998,1199.999999
11600.0,1199.999998,1199.999999
11650.0,1199.999998,1199.999999
11700.0,1199.999998,1199.999999
11750.0,1199.999998,1199.999999
11800.0,1199.999999,1199.999999
11850.0,1199.999999,1199.999999
11900.0,1199.999999,1199.999999
11950.0,1199.999999,1199.999999
12000.0,1199.999999,1199.999999
12050.0,1199.999999,1199.999999
12100.0,1199.999999,1200.0
12150.0,1199.999999,1200.0
12200.0,1199.999999,1200.0
12250.0,1199.999999,1200.0
12300.0,1199.999999,1200.0
12350.0,1199.999999,1200.0
12400.0,1200.0,1200.0
12450.0,1200.0,1200.0
12500.0,1200.0,1200.0
12550.0,1200.0,1200.0
12600.0,1200.0,1200.0
12650.0,1200.0,1200.0
12700.0,1200.0,1200.0
12750.0,1200.0,1200.0
12800.0,1200.0,1200.0
12850.0,1200.0,1200.0
12900.0,1200.0,1200.0
12950.0,1200.0,1200.0
13000.0,1200.0,1200.0
