Elements,Nodes,_to_cupy,calculate_matrices,prepare_data,_analyze,factorize,solve
360000,361201,0.03479623794555664,0.04750633239746094,0.15933847427368164,0.41290974617004395,1.7501463890075684,0.3735037088394165
100,121,0.0008759498596191406,0.0024030208587646484,0.05304360389709473,0.01181340217590332,0.05859708786010742,0.001670527458190918
250000,251001,0.02292943000793457,0.032138824462890625,0.1100010871887207,0.2955362796783447,1.1761548519134521,0.23540868759155273
160000,160801,0.023305892944335938,0.02703380584716797,0.0826869010925293,0.2045731544494629,0.7205071449279785,0.1424694299697876
640000,641601,0.07540321350097656,0.09368586540222168,0.28742170333862305,0.7171139717102051,3.379481315612793,0.6308600425720214
810000,811801,0.07845401763916016,0.10260844230651855,0.3892073631286621,0.9130897521972656,4.677628040313721,0.9100260734558105
2500,2601,0.0010852813720703125,0.0026314258575439453,0.052697181701660156,0.01660943031311035,0.06563496589660645,0.004077363014221192
40000,40401,0.00839376449584961,0.010759830474853516,0.05623149871826172,0.06488680839538574,0.2000443935394287,0.0325911283493042
490000,491401,0.0449833869934082,0.05758070945739746,0.22405552864074707,0.5575463771820068,2.5239124298095703,0.51625075340271
10000,10201,0.002936840057373047,0.004668235778808594,0.05313277244567871,0.027259349822998047,0.09060478210449219,0.01064767837524414
1000000,1002001,0.08475422859191895,0.11556434631347656,0.43004465103149414,1.1242992877960205,6.116390228271484,1.167173433303833
90000,90601,0.015939950942993164,0.018740177154541016,0.0646524429321289,0.12024307250976562,0.3960697650909424,0.06835763454437256
