Generating SQLite file cupy_100_steps.sqlite from cupy_100_steps.nsys-rep
Processing [cupy_100_steps.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.2.1/target-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
19000,19000,0,2,2,73526301.0,73526301.0,73469353,73583249,80536.6,4554.0,4554.0,2270,6838,3230.1,73507427.0,73507427.0,73447987,73566867,84060.9,14320.0,14320.0,14112,14528,294.2,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::transform::transform_kernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::transform::policy_hub<(bool)0, cuda::std::__4::tuple<thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::counting_iterator<unsigned long, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::compile_time_value<(int)1>>, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::constant_iterator<long, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default>>, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::device_ptr<unsigned long>>::policy1000, int, cuda::std::__4::modulus<unsigned long>, unsigned long *, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::counting_iterator<unsigned long, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::compile_time_value<(int)1>>, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::constant_iterator<long, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default>>(T2, int, bool, T3, T4, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::transform::kernel_arg<T5>...)"
19000,19000,0,2,2,73513786.0,73513786.0,73443156,73584416,99885.9,2521.5,2521.5,1928,3115,839.3,73501648.5,73501648.5,73429193,73574104,102467.6,9616.0,9616.0,8384,10848,1742.3,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix::policy_hub<int, unsigned long, unsigned long long>::Policy1000, (cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::SortOrder)0, int, unsigned long long, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
19000,19000,0,2,2,73513764.5,73513764.5,73443786,73583743,98964.5,5633.5,5633.5,1734,9533,5514.7,73506979.0,73506979.0,73433101,73580857,104479.3,1152.0,1152.0,1152,1152,0.0,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix::policy_hub<int, unsigned long, unsigned long long>::Policy1000, unsigned long long>(T2 *)"
19000,19000,0,400,399,67588254.1,51085638.5,12345716,156277178,59682835.6,34646.2,2748.0,1623,12797017,639718.5,67283335.6,88496318.0,11668102,156072663,59913418.2,438482.8,438389.5,202530,674632,236152.0,cudaLaunchKernel,"void cusparse_transpose_readWrite_alignment_kernel<double, int, (int)1, (bool)0, (int)6, (int)4, (int)4>(cusparseTransposeParams<T1>, const T1 *, T1 *, const T1 *)"
19000,19000,0,400,400,62548284.2,2088635.0,29526,160272794,67618016.8,13993.3,3313.5,1806,4296198,214648.9,62533171.3,66189.0,22599,160269804,67628158.5,1119.6,1152.0,896,1376,91.3,cudaLaunchKernel,"void cub::CUB_200101_500_520_600_610_700_750_800_860_890_900_1000_1010_1030_1200_1210_NS::DeviceScanInitKernel<cub::CUB_200101_500_520_600_610_700_750_800_860_890_900_1000_1010_1030_1200_1210_NS::ScanTileState<int, (bool)1>>(T1, int)"
19000,19000,0,400,400,62545389.1,67744.0,29031,160288654,67633954.1,2597.1,2551.5,1755,9791,585.7,62528007.7,49069.5,14974,160267210,67629810.1,14784.3,14784.0,9632,21441,4810.8,cudaLaunchKernel,"void cub::CUB_200101_500_520_600_610_700_750_800_860_890_900_1000_1010_1030_1200_1210_NS::DeviceScanKernel<cub::CUB_200101_500_520_600_610_700_750_800_860_890_900_1000_1010_1030_1200_1210_NS::DeviceScanPolicy<int>::Policy600, const int *, int *, cub::CUB_200101_500_520_600_610_700_750_800_860_890_900_1000_1010_1030_1200_1210_NS::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::CUB_200101_500_520_600_610_700_750_800_860_890_900_1000_1010_1030_1200_1210_NS::NullType, int, int>(T2, T3, T4, int, T5, T6, T7)"
19000,19000,0,5,4,43519587.2,3880877.0,193502,146388986,64127851.8,8085.4,6285.0,3257,16673,5321.7,52402345.8,33334234.5,523,142940391,68044209.5,1589726.2,234627.0,188225,3858314,1886869.9,cuLaunchKernel,cupyx_scipy_sparse_has_canonical_format
19000,19000,0,2,1,42725569.5,42725569.5,42715728,42735411,13918.0,20979337.0,20979337.0,2912,41955762,29665144.7,41926184.0,41926184.0,41926184,41926184,0.0,783448.0,783448.0,780264,786632,4502.9,cudaLaunchKernel,"void cusparse::gather_kernel<int, unsigned long, void>(T1, const T1 *, T2 *, const T2 *)"
19000,19000,0,7,7,42109554.0,16575377.0,230905,146843972,53931487.3,4618.9,4153.0,2768,7901,1981.9,38296576.9,3847784.0,174,146321693,55101149.2,3808358.3,518054.0,223650,16567302,6359881.9,cuLaunchKernel,cupy_all
19000,19000,0,54,54,42066763.2,36430962.0,7095443,99149671,26797203.2,2330.3,1862.0,1799,16898,2206.0,40250066.9,34698458.0,5784902,96937256,26497099.5,1814366.0,2188598.0,1077003,2759068,631091.5,cudaLaunchKernelExC,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::merge_sort::DeviceMergeSortMergeKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::merge_sort::policy_hub<thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::device_ptr<unsigned long>>::Policy600, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::device_ptr<unsigned long>, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::NullType *, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::device_ptr<unsigned long>, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::NullType *, unsigned int, elem_less<int>, unsigned long, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::NullType, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::merge_sort::VSMemHelper>(bool, T4, T5, T6, T8 *, T9 *, T7, T6 *, T6, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::vsmem_t)"
