Generating SQLite file cupy_10_steps.sqlite from cupy_10_steps.nsys-rep
Processing [cupy_10_steps.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.2.1/target-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
18852,18852,0,20,20,1947541792.5,1886414976.0,1370354050,2466046767,517204730.2,11552.6,5490.5,3872,129942,27873.7,117529324.8,101984800.0,8597228,166934531,55193313.3,1830000915.0,1829877910.0,1361158079,2299206980,480766314.5,cudaLaunchCooperativeKernel,"void cusparse::find_colors_kernel<int, (int)256, (int)4, (bool)0>(T1, const T1 *, const T1 *, T1 *, T1 *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, int, cusparseFillMode_t)"
18852,18852,0,20,20,121488529.5,115795250.5,88412848,155789788,33955854.5,3610.1,2629.5,2294,21913,4311.5,12241854.3,12387075.0,637736,13414884,2780773.2,109243065.0,109221301.0,76117771,142385743,33961318.1,cudaLaunchKernel,"void cusparse::spsm_v1_kernel<int, double, (int)8, (int)16, (int)8, (int)16, (int)2>(T1, T1, long, long, long, int, T2 *, const T2 *, const T1 *, const T1 *, const T2 *, const T2 *, unsigned int *, unsigned int *, unsigned int *, cusparse::KernelCoeffs<T2>, int, unsigned int, unsigned int)"
18852,18852,0,20,20,117537501.5,101986831.0,8737162,166935216,55178268.9,2826.3,2383.0,1961,11742,2110.3,109840519.6,93521914.5,76090,160030116,55697848.7,7694155.6,7655919.0,6900586,8649330,800951.3,cudaLaunchKernel,"void cusparse::do_triangular_pattern_kernel<int, (int)128, (int)4>(T1, const T1 *, const T1 *, T1 *, T1 *, int, cusparseFillMode_t)"
18852,18852,0,20,19,110157873.4,93512256.0,4129236,160013840,55027613.8,100795.0,3130.0,2345,1954368,436286.5,111182351.9,88800024.0,380,155865582,50879277.7,4433915.0,4419532.5,4122920,4751406,303741.3,cudaLaunchKernel,"void cusparse::number_of_deps_kernel<int, (int)128, (bool)0, (int)4>(T1, const T1 *, const T1 *, unsigned int *, T1 *, int, cusparseFillMode_t)"
18852,18852,0,20,20,109846158.0,93526830.0,93009,160034620,55696348.0,2967.3,2624.5,2017,7973,1438.0,109832985.8,93514043.0,74796,160022262,55696906.7,10204.9,10208.0,10144,10272,40.0,cudaLaunchKernel,"void cusparse::streamcpy_kernel<int, (int)128>(T1, T1 *, T1 *, T1)"
18852,18852,0,8,8,73363737.3,73356008.0,73247109,73487119,89051.3,4161.4,1698.5,1609,21338,6941.2,73320523.6,73318987.5,73180843,73459974,96216.0,39052.3,42624.0,25536,45057,8451.9,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix::policy_hub<int, unsigned long, unsigned long long>::Policy1000, (cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::SortOrder)0, int, unsigned long, unsigned long long, int, int, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
18852,18852,0,2,2,73289308.0,73289308.0,73242690,73335926,65927.8,8840.5,8840.5,2035,15646,9624.4,73267315.0,73267315.0,73213732,73320898,75777.8,13152.5,13152.5,12993,13312,225.6,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::transform::transform_kernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::transform::policy_hub<(bool)0, cuda::std::__4::tuple<thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::counting_iterator<unsigned long, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::compile_time_value<(int)1>>, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::constant_iterator<long, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default>>, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::device_ptr<unsigned long>>::policy1000, int, cuda::std::__4::modulus<unsigned long>, unsigned long *, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::counting_iterator<unsigned long, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::compile_time_value<(int)1>>, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::constant_iterator<long, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::use_default>>(T2, int, bool, T3, T4, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::transform::kernel_arg<T5>...)"
18852,18852,0,2,2,73273037.5,73273037.5,73209207,73336868,90270.0,2516.0,2516.0,1904,3128,865.5,73260985.5,73260985.5,73194751,73327220,93669.7,9536.0,9536.0,7744,11328,2534.3,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix::policy_hub<int, unsigned long, unsigned long long>::Policy1000, (cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::SortOrder)0, int, unsigned long long, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
18852,18852,0,2,2,73272892.0,73272892.0,73209644,73336140,89446.2,5370.0,5370.0,1703,9037,5185.9,73266450.0,73266450.0,73199551,73333349,94609.5,1072.0,1072.0,1056,1088,22.6,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix::policy_hub<int, unsigned long, unsigned long long>::Policy1000, unsigned long long>(T2 *)"
18852,18852,0,10,10,71113494.8,88774493.0,462508,88861216,37232079.5,5337.6,3691.5,3395,19382,4952.6,70650203.5,88312478.5,1394,88398760,37230878.1,457953.7,459013.0,441732,463237,6046.8,cudaLaunchKernel,"void cusparse::csrmv_v3_kernel<std::integral_constant<bool, (bool)0>, int, int, double, double, double, double, void>(cusparse::KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)"
